Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Hotel Windsor,3.9,Patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4536
"Lemon Tree Premier, Patna",4.1,Patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6882
Treebo Trend Seven Suites,3.5,Nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Paid parking,Room service,Kitchen,Full-service laundry,Kid-friendly,2488
Treebo Trend Chalets,4.2,Nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,3008
Radisson Blu Hotel Nagpur,4.5,Nagpur,5-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9361
Regenta Central Hotel & Convention Centre,4.0,Nagpur,4-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3830
Hotel The Embassy,4.1,Nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,3395
Hotel Centre Point,4.3,Nagpur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4681
"The Legend Inn, Nagpur",4.0,Nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,3276
Orange Tree Hotels,4.4,Nagpur,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,0,3042
Octave Parkland Suites,4.3,Nagpur,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,0,2099
"RSVP NAGPUR(Restro-bar,Rooftop & Rooms)",4.0,Nagpur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,0,0,2300
Treebo Trend Chalets,4.2,Nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2989
Hotel Orient Crown,3.9,Nagpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Smoke-free,0,1677
Hotel Maitrayee,4.6,Nagpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2384
Hotel Nagpur Ashok,4.0,Nagpur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,5235
Nirvana Residency,4.7,Nagpur,0,0,0,0,0,0,0,0,0,2600
The Paramount Hotel,4.4,Nagpur,Free Wi-Fi,Paid parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,Smoke-free,0,1071
Hotel President Nagpur,4.1,Nagpur,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2813
Treebo Trend The Pavilion,4.0,Nagpur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,2966
Treebo Trend Hotel A1,3.9,Nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,2689
The Park Indore,4.7,Indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6272
Pride Hotel & Convention Centre Indore,4.1,Indore,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3807
Pride Hotel & Convention Centre Indore,4.1,Indore,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3273
Hotel Solaris,4.0,Indore,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,2259
Sayaji Hotel Indore,4.4,Indore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5111
Best Western Plus Indore,4.2,Indore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3424
Fairfield by Marriott Indore,4.2,Indore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,4770
Jalsa Resort & Banquets,4.3,Indore,Free Wi-Fi,Free parking,Pool,Spa,Restaurant,Kitchen,Full-service laundry,Accessible,Kid-friendly,2921
Radisson Blu Hotel Indore,4.5,Indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6266
Indore Marriott Hotel,4.4,Indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6721
Sheraton Grand Palace Indore,4.3,Indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7280
Jardin Hotels,4.2,Indore,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Accessible,2508
"WOW Crest, Indore - IHCL SeleQtions",4.3,Indore,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,Restaurant,5878
Effotel by Sayaji,4.3,Indore,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,4090
"Hotel Meritel Grande, Indore",4.9,Indore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Spa,Bar,Restaurant,Room service,Kitchen,1384
Hotel Vrindavan Palace,4.4,Indore,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Room service,Kitchen,Full-service laundry,0,1871
Hotel Shri Niwas,3.7,Indore,2-star hotel,Free Wi-Fi,Paid parking,Pool,Kitchen,Full-service laundry,Kid-friendly,0,0,1289
JMC HOTEL S GRANDE INDORE,4.6,Indore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,2239
The Park Indore,4.7,Indore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5018
My Special House,2.9,Indore,Sleeps 2,1 bedroom,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,1020
Astha Lakshmi Tourist Homestay,4.5,Indore,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,1428
Treebo Trend Grand Euro,4.7,Indore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Business center,Kid-friendly,2570
Sayaji Hotel Indore,4.4,Indore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5874
Trident Hotel Jaipur,4.4,Jaipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,14160
The Lalit Jaipur,4.4,Jaipur,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,12389
Hotel Sarang Palace - Boutique Stays & Candlelight Dining,4.4,Jaipur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Spa,Bar,Restaurant,Room service,2724
Moustache Jaipur,4.4,Jaipur,2-star hotel,Free Wi-Fi,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,0,0,1039
Chokhi Dhani Resort,4.3,Jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,10029
"Holiday Inn Jaipur City Centre, an IHG Hotel",4.5,Jaipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,14190
Umaid Bhawan-A Royal Heritage Style Boutique Hotel,4.3,Jaipur,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,5585
Jaipur Marriott Hotel,4.5,Jaipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7840
"Devi Ratn, Jaipur – IHCL SeleQtions",4.5,Jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Pet-friendly,Fitness center,16992
The Lalit Jaipur,4.4,Jaipur,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7381
Hotel Rajasthan Palace,4.7,Jaipur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,5479
WelcomHeritage Traditional Haveli,4.5,Jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,4704
Hilton Jaipur,4.4,Jaipur,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6885
"Lemon Tree Premier, Jaipur",4.3,Jaipur,4-star hotel,Breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3920
Hotel Grand Lotus Inn,4.7,Jaipur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1489
"Jai Mahal Palace, Jaipur",4.7,Jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,34173
Chokhi Dhani Resort,4.3,Jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,8388
Dera Jaipur,4.5,Jaipur,Sleeps 17,6 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,8400
Blue Beds Jaipur,4.4,Jaipur,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,1858
Hotel Royal Orchid Jaipur,4.3,Jaipur,5-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Restaurant,6011
Ginger Jaipur,4.1,Jaipur,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,3135
Pride Amber Vilas Resort & Convention Centre,4.2,Jaipur,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7951
Sureli Haveli Jaipur,3.8,Jaipur,Sleeps 2,1 bedroom,Paid parking,No outdoor grill,Not pet-friendly,Not smoke-free,Not wheelchair accessible,0,0,1415
ibis Nashik,4.4,Nashik,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Full-service laundry,2911
Treebo Trend Abode,4.0,Nashik,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Kitchen,Full-service laundry,Kid-friendly,0,3271
Birla Ayurveda Stay Centre,4.1,Nashik,Sleeps 6,2 bedrooms,Air conditioning,Paid parking,Free Wi-Fi,No crib,No elevator,No fireplace,No fitness center,1482
ibis Nashik,4.4,Nashik,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Full-service laundry,2872
Raghunandan Resort,4.2,Nashik,0,0,0,0,0,0,0,0,0,2195
The Emerald Park,4.0,Nashik,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,3190
The Gateway Hotel Ambad Nashik,4.6,Nashik,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,12980
"Enrise by Sayaji - Nashik, Best Banquet Hotel",4.2,Nashik,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,3489
"Hotel Royale Heritage, Nashik",3.8,Nashik,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,1242
Courtyard by Marriott Nashik,4.4,Nashik,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,9735
Ginger Nashik,3.8,Nashik,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Kitchen,Full-service laundry,Kid-friendly,3518
Hotel Panchavati Yatri,4.0,Nashik,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,1934
Caves County,4.1,Nashik,Free breakfast,Free Wi-Fi,Free parking,Restaurant,Room service,Full-service laundry,0,0,0,4021
Hotel Rama Heritage,4.1,Nashik,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2746
PANCHAVATI ELITE INN,3.6,Nashik,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2071
"Holiday Inn Express Nashik Indira Nagar, an IHG Hotel",3.8,Nashik,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Accessible,4434
Shakuntala Farms - Rustic Farmstay with Modern Comforts,4.9,Nashik,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Kitchen,Full-service laundry,0,0,0,4745
Hotel Grand Rio,4.5,Nashik,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,4016
"Hotel MBC Citadel Nashik ( Near Sula, Trimbakeshwar and MIDC Area )",4.2,Nashik,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,3870
Shriram Guest House,3.0,Nashik,Free Wi-Fi,Pool,Kitchen,Full-service laundry,Kid-friendly,0,0,0,0,618
Quality Inn Regency,3.8,Nashik,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3210
"Treebo Trend The Utsav, Nashik",4.6,Nashik,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2968
Itsy by Treebo - Oasis Pride,4.0,Nashik,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Full-service laundry,Accessible,Kid-friendly,2217
Best Western Bliss,4.1,Kanpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3300
MVR Grand Hotel,4.4,Kanpur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,3744
The Landmark Towers,4.4,Kanpur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6719
Red Orchid Hotel Kanpur,4.3,Kanpur,Free breakfast,Free Wi-Fi,Paid parking,Bar,Restaurant,Room service,Kitchen,Full-service laundry,0,2335
Best Western Bliss,4.1,Kanpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3300
Hotel Kartar Yatri Niwas,4.1,Kanpur,Free Wi-Fi,Air conditioning,Room service,Kitchen,Full-service laundry,0,0,0,0,627
Vijay Intercontinental,4.1,Kanpur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4452
Moon And Mars Resort,4.3,Kanpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4242
Status club business Hotel,3.9,Kanpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,2395
Hotel Bhagyaraj Palace -Best Hotel In Kanpur,4.2,Kanpur,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,0,0,0,1826
Hotel The Novelty,4.8,Kanpur,Free Wi-Fi,Air conditioning,Breakfast,Paid parking,Room service,Kitchen,Kid-friendly,Smoke-free,0,1800
Little Chef Hotel,4.3,Kanpur,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3679
"Krishna vatika, Krishna nagar Kanpur nagar uttar pradesh",4.2,Kanpur,0,0,0,0,0,0,0,0,0,2600
THE VILLA,3.9,Kanpur,3-star hotel,Free Wi-Fi,Pool,Kitchen,Full-service laundry,Kid-friendly,0,0,0,3133
Hotel Sant Villa,3.2,Kanpur,1-star hotel,Free Wi-Fi,Air conditioning,Kitchen,Full-service laundry,0,0,0,0,533
Status Club & Resort,4.3,Kanpur,3-star hotel,Air conditioning,Kid-friendly,0,0,0,0,0,0,4040
The Deep Hotel,4.0,Kanpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,0,2072
THE ROYAL ORCHID HOTEL | Hotels in Kanpur,4.1,Kanpur,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,0,3280
Little Chef Hotel,4.3,Kanpur,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3679
Hotel Bhagyaraj Palace -Best Hotel In Kanpur,4.2,Kanpur,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,0,0,0,2560
The Altius Boutique Hotel,4.0,Chandigarh,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,4435
Hotel Oyster,4.0,Chandigarh,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Spa,Bar,Restaurant,3528
Hotel Emerald Chandigarh,4.2,Chandigarh,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,1765
Hotel Aroma Chandigarh,4.3,Chandigarh,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Spa,Restaurant,Room service,3035
The Altius Boutique Hotel,4.0,Chandigarh,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,3003
Hotel The Yellow,4.1,Chandigarh,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1651
Hotel Royal Park 22,4.3,Chandigarh,3-star hotel,Free Wi-Fi,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,2231
Hotel City Palace,3.4,Chandigarh,Breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,0,0,461
"The Fern Residency, Chandigarh",4.0,Chandigarh,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,4077
Wyndham Chandigarh Mohali,4.6,Chandigarh,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,Restaurant,10636
Hotel City Heart Premium,3.8,Chandigarh,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2036
Hotel Pride,4.5,Chandigarh,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1407
The Regent hotel,3.5,Chandigarh,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1950
Hotel Chandigarh Beckons,4.2,Chandigarh,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2808
Taj Chandigarh,4.4,Chandigarh,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,15337
The Piccadily Hotel,4.1,Chandigarh,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Bar,Restaurant,Room service,Kitchen,4656
Amara Hotel,4.1,Chandigarh,3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,2533
Hotel Landmark Chandigarh,3.8,Chandigarh,2-star hotel,Breakfast,Free Wi-Fi,Paid parking,Hot tub,Air conditioning,Restaurant,Room service,Kitchen,1976
Hotel Park Inn,4.1,Chandigarh,3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,3506
Kapoor's Homestay Chandigarh,3.2,Chandigarh,Sleeps 5,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2580
Natures Blessing,4.9,Chandigarh,Sleeps 7,3 bedrooms,Air conditioning,Elevator,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib,2528
Hotel Parkview,4.0,Chandigarh,0,0,0,0,0,0,0,0,0,2398
Hotel Icon,4.2,Chandigarh,4-star hotel,Free breakfast,Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,5544
The Guwahati Address,4.3,Guwahati,4-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,6720
Treebo Trend Umal Homestay,4.5,Guwahati,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,2572
"Radisson Blu Hotel, Guwahati",4.5,Guwahati,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7153
Exotic Villa Homestay,4.3,Guwahati,Breakfast,Free Wi-Fi,Free parking,Room service,Kitchen,Full-service laundry,Kid-friendly,0,0,1026
Vivanta Guwahati,4.4,Guwahati,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Pet-friendly,Fitness center,9781
"The Greenwood Resort, Guwahati",4.3,Guwahati,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,7111
Novotel Guwahati GS Road,4.6,Guwahati,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,8623
Ginger Guwahati,3.8,Guwahati,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,3358
A P Home's,4.4,Guwahati,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Cable TV,Free Wi-Fi,No crib,No elevator,No fitness center,1306
Mahalaxmi Home Stay,4.3,Guwahati,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Kitchen,Airport shuttle,710
The Ornate,4.2,Guwahati,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,4017
Gibbon Backpackers Hostel,4.5,Guwahati,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,0,0,782
Pragati Manor,4.1,Guwahati,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,4451
The Rhino,4.0,Guwahati,0,0,0,0,0,0,0,0,0,1371
Hiltop Lodge,3.8,Guwahati,Sleeps 5,2 bedrooms,Fireplace,Paid parking,Free Wi-Fi,No air conditioning,No crib,No elevator,No fitness center,1166
Airport Guest House Guwahati,4.0,Guwahati,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,2354
"The Greenwood, Guwahati : A Luxury Boutique Hotel",4.6,Guwahati,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,Restaurant,6335
Dula Homestay,4.7,Guwahati,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Kitchen,Accessible,0,0,0,1034
Luit Vista Guest House (A boutique Heritage property),4.3,Guwahati,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Kid-friendly,Smoke-free,2106
Hotel Dynasty,4.1,Guwahati,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Spa,Bar,Restaurant,3604
Ratnamouli Palace,4.6,Guwahati,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,Restaurant,6720
Treebo Trend Pappilon Palace,4.2,Mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Full-service laundry,Kid-friendly,Smoke-free,3008
Treebo Trend The Horizon - Hotel in Mangalore,4.1,Mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,2738
Rks Beachfront,4.8,Mangalore,Free Wi-Fi,Free parking,Pool,Beach access,Bar,Restaurant,Room service,Kitchen,Full-service laundry,4116
Hotel Manorama,4.0,Mangalore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,1237
Grand Plaza Hotel,3.9,Mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Room service,Airport shuttle,Kid-friendly,0,2580
Hotel Ganga Sagar,4.3,Mangalore,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,Smoke-free,1348
"Vivanta Mangalore, Old Port Road",4.2,Mangalore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,6891
Hotel Mangalore International,3.8,Mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Room service,Full-service laundry,Kid-friendly,1362
Cosmo Lodge,3.8,Mangalore,Free Wi-Fi,Paid parking,Air conditioning,Breakfast,Room service,Kitchen,Full-service laundry,Accessible,Kid-friendly,887
The Sea View,4.2,Mangalore,Free breakfast,Free Wi-Fi,Free parking,Pool,Spa,Bar,Restaurant,Room service,Kitchen,4777
Hotel Heraa International - The Heraa Inn,4.6,Mangalore,0,0,0,0,0,0,0,0,0,2239
Hotel Poonja International,3.5,Mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1677
THE OCEAN PEARL INN,4.3,Mangalore,Free breakfast,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,0,4106
The Ocean Pearl,4.4,Mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5891
Royal Plaza Suites,4.7,Mangalore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,0,4409
Goldfinch Hote l Mangaluru,4.2,Mangalore,Breakfast,Free Wi-Fi,Paid parking,Pool,Fitness center,Restaurant,Room service,Kitchen,Airport shuttle,4619
Hotel Paramount Suites & Service Apartments (Mangalore),4.5,Mangalore,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,Business center,0,2464
